date,truth_rate,SARIMA_pred,LSTM_pred
2006-01-01,5.2775,3.9210000000000003,4.58
2006-02-01,5.0269,5.0849,4.9923
2006-03-01,5.8394,5.5634,5.2257
2006-04-01,5.9049,5.778,5.8084
2006-05-01,5.5982,5.7463,5.4836
2006-06-01,5.0339,5.4916,5.0261
2006-07-01,4.6172,5.0801,4.872
2006-08-01,4.6874,4.6486,4.4062
2006-09-01,4.0412,4.3677,4.1216
2006-10-01,4.1185,3.9945,3.8312
2006-11-01,3.4301,3.6183,3.6145
2006-12-01,1.9668,2.9875,4.1498
2007-01-01,6.0377,3.8244,4.473
2007-02-01,5.0838,5.0948,5.01
2007-03-01,5.819,5.6343,5.6715
2007-04-01,5.797999999999999,5.7631,5.7588
2007-05-01,5.812,5.6164,5.7927
2007-06-01,5.4118,5.3594,5.2259
2007-07-01,5.0279,5.0384,4.9477
2007-08-01,4.551,4.7228,4.688
2007-09-01,3.9483,4.4093,4.3496
2007-10-01,3.8739,4.0226,4.0001
2007-11-01,3.3527,3.6158,3.7033
2007-12-01,1.8776,3.0157,4.3722
2008-01-01,6.6304,3.9016,4.9253
2008-02-01,5.9305,5.2853,5.6144
2008-03-01,5.9235,6.0269,6.7054
2008-04-01,6.3105,6.1084,6.3601
2008-05-01,5.9374,5.9381,5.9586
2008-06-01,5.5504,5.5832,5.4978
2008-07-01,5.3534,5.1737,4.9031
2008-08-01,4.7995,4.8609,4.7673
2008-09-01,4.1414,4.5822,4.5567
2008-10-01,4.2688,4.2403,4.2278
2008-11-01,3.5805,3.9267,4.4326
2008-12-01,1.7497,3.3795,4.6
2009-01-01,5.2615,4.2119,4.9254
2009-02-01,5.061,5.1945,5.4176
2009-03-01,6.2635,5.6746,5.629
2009-04-01,5.9572,5.8806,5.7694
2009-05-01,5.3421,5.7368,5.3429
2009-06-01,5.0012,5.2984,4.9939
2009-07-01,4.8698,4.8134,4.681
2009-08-01,4.6464,4.4598,4.6459
2009-09-01,4.2709,4.232,4.2102
2009-10-01,4.3838,4.0158,3.9437
2009-11-01,4.112,3.8032,4.1987
2009-12-01,3.4255,3.4124,4.4936
2010-01-01,5.0171,4.6318,5.0889
2010-02-01,4.6857,5.528,5.5158
2010-03-01,5.6251,5.773,6.1829
2010-04-01,5.7486,5.7387,6.2202
2010-05-01,5.6457,5.5264,5.7828
2010-06-01,5.3669,5.2197,5.5448
2010-07-01,5.1177,4.9118,5.1028
2010-08-01,4.8389,4.6761,4.7412
2010-09-01,4.5074,4.5023,4.7402
2010-10-01,4.4663,4.3059,4.3998
2010-11-01,4.2971,4.0451,4.3437
2010-12-01,4.016,3.6016,4.9514
2011-01-01,6.313,4.8592,5.7697
2011-02-01,5.9868,5.9567,6.1061
2011-03-01,6.621,6.4091,6.3886
2011-04-01,6.2149,6.4676,6.0976
2011-05-01,6.1533,6.199,5.9693
2011-06-01,5.7426,5.8391,5.6393
2011-07-01,5.5715,5.4896,5.4738
2011-08-01,5.8978,5.2524,5.0857
2011-09-01,5.4095,5.2243,5.0064
2011-10-01,5.5076,5.1432,4.7248
2011-11-01,4.9966,4.967,4.9332
2011-12-01,4.3463,4.4928,5.1857
2012-01-01,14.7141,5.5958,5.6151
2012-02-01,7.2454,8.2328,6.7312
2012-03-01,7.4163,8.8585,6.9167
2012-04-01,7.1246,8.4079,6.2351
2012-05-01,7.1907,7.7241,5.9791
2012-06-01,5.7325,7.1376,5.7687
2012-07-01,5.2859,6.4841,5.3118
2012-08-01,5.2039,5.9702,5.0243
2012-09-01,4.7665,5.6999,4.7302
2012-10-01,4.9692,5.4684,4.4808
2012-11-01,4.3677,5.2139,4.7025
2012-12-01,3.7753,4.6387,4.8771
2013-01-01,5.4647,5.6083,5.4777
2013-02-01,4.8929,6.2421,5.6082
2013-03-01,5.4123,6.1963,5.5181
2013-04-01,5.4556,5.8265,5.6772
2013-05-01,5.4077,5.3639,5.5184
2013-06-01,5.1093,4.9682,5.1163
2013-07-01,5.0706,4.7055,5.002
2013-08-01,5.0273,4.6443,5.0213
2013-09-01,4.6651,4.7224,4.7281
2013-10-01,4.9795,4.7263,4.4906
2013-11-01,4.41,4.6302,4.5365
2013-12-01,3.7426,4.1545,4.8263
2014-01-01,5.6798,5.1709,5.3522
2014-02-01,5.4612,5.8931,5.4706
2014-03-01,5.8848,6.0325,5.6297
2014-04-01,5.6046,5.8406,5.4521
2014-05-01,5.1514,5.4688,5.1186
2014-06-01,4.7461,5.0558,4.9245
2014-07-01,4.7142,4.74,4.6428
2014-08-01,4.3316,4.6313,4.6139
2014-09-01,3.9786,4.5911,4.4845
2014-10-01,4.0014,4.4639999999999995,4.0718
2014-11-01,3.7691,4.1872,4.0167
2014-12-01,3.6711,3.6101,4.2241
2015-01-01,4.8676,4.6854,4.8443
2015-02-01,4.2173,5.3388,5.331
2015-03-01,5.3172,5.2946,5.0595
2015-04-01,5.2693,5.0917,4.7117
2015-05-01,5.0502,4.8314,4.4147
2015-06-01,4.7284,4.5861,4.489
2015-07-01,4.466,4.4335,4.4509
2015-08-01,4.2812,4.3942,4.2862
2015-09-01,4.0164,4.4102,4.0643
2015-10-01,4.1853,4.3332,3.9463
2015-11-01,3.8521,4.109,3.7678
2015-12-01,3.5806,3.5458,3.5805
2016-01-01,4.6071,4.5838,4.1353
2016-02-01,4.6345,5.165,4.8636
2016-03-01,5.1553,5.3281,4.9733
2016-04-01,4.9246,5.1948,4.7596
2016-05-01,4.5089,4.9206,4.534
2016-06-01,4.3764,4.6544,4.3199
2016-07-01,4.1457,4.4976,4.2964
2016-08-01,4.1846,4.4765,4.1569
2016-09-01,3.8899,4.5348,4.163
2016-10-01,3.8739,4.5494,3.5846
2016-11-01,4.0475,4.3641,3.3896
2016-12-01,3.0996,3.8322,3.8141
2017-01-01,4.6143,4.8403,4.3307
2017-02-01,4.7562,5.3845,4.6916
2017-03-01,5.1225,5.5261,5.5199
2017-04-01,4.9416,5.3917,5.306
2017-05-01,5.0492,5.138,5.0914
2017-06-01,4.3236,4.9092,4.4003
2017-07-01,4.4312,4.7974,4.2914
2017-08-01,4.5068,4.8175,4.3151
2017-09-01,3.9437,4.9030000000000005,4.4821
2017-10-01,4.4266,4.9241,3.9437
2017-11-01,4.2962,4.7239,3.8713
2017-12-01,3.7789,4.1607,4.3321
