rate,avr_air_pressure,avr_wind_spd,avr_temp,avr_water_pressure,rel_humidity,day_precipitation,month_sun,hour_sun,extreme_wind_speed,min_air_pressure,min_temp,max_air_pressure,max_temp,max_wind_speed,day_max_precipitation,power,industrial_add,sales_rate,fin_budget,cpi,pas_turn,im_ex,Residential_investment,ex_factory_index
4.633972992,1014.614286,2.614285714,-8.885714286,1.928571429,58.57142857,2.285714286,64.14285714,191.9,15.84285714,997.8571429,-19.22857143,1026.7,3.314285714,9.857142857,4.085714286,69.21,33.8,95.75,43.6,102.55,83789.25,3160980,18.67762238,107.13
3.655531864,1016.871429,2.785714286,-8.6,1.814285714,53.42857143,4,64.71428571,194.0142857,14.3,1000.528571,-19.2,1026.828571,4.428571429,8.8,4.657142857,64.45,18.1,96.38,49.3,103.4,94689,2959660,51,105.81
5.811419095,1010.242857,3.457142857,0.928571429,2.885714286,43.57142857,0.571428571,71.85714286,267.9,17.84285714,997.2285714,-13.44285714,1024.071429,17.64285714,11.08571429,4.067857143,74.39,29.7,98.46,27.8,102.75,84280.5,4583577,5.2,105.73
5.621890547,1001.085714,3.628571429,11.12857143,6.485714286,50,6.571428571,57.85714286,231.0285714,18.65714286,979.6857143,-2.371428571,1013.414286,26.04285714,11.5,24.48571429,69.38,25.1,98.15,22.9,102.05,89186,4464550,6.6,105.86
5.361288794,999.4857143,3.085714286,15.85714286,10.4,60.14285714,12.14285714,56,251.5285714,18.7,988.8571429,5.014285714,1008.628571,28.08571429,11.4,56.78571429,71.67,24.1,97.64,23.3,102.45,94300.5,3772627,1.3,106.17
5.076995973,993.3285714,2.642857143,21.28571429,19.27142857,77.28571429,16.28571429,39.28571429,176.4857143,17.37142857,984.1714286,13.62857143,1002.585714,30.9,10.37142857,36.7,68,19.9,98.29,22.3,102.25,87125.5,4197710,10.8,105.85
4.873252784,995.2142857,2.257142857,24.71428571,24.67142857,80,13.14285714,39.14285714,178.4142857,16.02857143,984.7,17.94285714,1004.914286,33.18571429,8.4,59.12857143,69.19,22.2,99.28,22.2,102.75,89362,4129866,13.6,105.22
5.0864724,998.3571429,2.3,23.74285714,23.92857143,81.57142857,12,40,168.1714286,15.25714286,987.9142857,14.3,1006.514286,31.91428571,8.457142857,56.95714286,78.99,15.6,98.54,22.2,102.8,94968,4101492,16.1,105.39
4.30466714,1006.314286,2.3,19.38571429,15.51428571,70.42857143,5,61.85714286,228.9571429,13.77142857,995.4571429,8.528571429,1013.485714,30.14285714,7.971428571,27.27142857,70.81,19.2,96.23,28.4,102.4,92356,3995620,18.6,104.8
3.534707415,1010.7,2.742857143,11.87142857,8.885714286,62.71428571,4.857142857,69.14285714,234.7,16.84285714,999.3571429,-4.042857143,1025.328571,24.31428571,10.02857143,17.01428571,73.81,15,98.36,26.8,102.05,97731,3473782,18.7,104.03
3.963515755,1010.428571,2.3,3.928571429,5.185714286,58.71428571,2.714285714,67.42857143,197.3857143,16,997.0714286,-6.771428571,1026.914286,19.6,9.5,4.410714286,76.04,19,97.64,27.1,101.9,91353.5,3795022,25.6,103
3.314380479,1017.857143,2.385714286,-9.471428571,1.828571429,58.85714286,4.142857143,63,179.7285714,14.12857143,1000.871429,-17.87142857,1027.6,4.171428571,8.514285714,6.442857143,90.59,17.5,100.16,22.7,101.35,110459.125,4418001,27.8,102.7
5.277452587,1017.542857,2.257142857,-8.414285714,2.185714286,62.28571429,3.428571429,58.42857143,174,14,1006.157143,-19.87142857,1027.814286,4.114285714,9.3,4.242857143,80.17,18.9,96.85916667,7.2,101.675,99784.5,3286785,18.67762238,104.48
5.026925779,1016.457143,3.328571429,-5.9,2.628571429,59.71428571,6,57.14285714,170.9571429,19.42857143,996.3714286,-22.92857143,1036.214286,8.885714286,11.81428571,8.557142857,77.11,18.2,96.66,14.8,102.225,99419.5,2925048,14.8,103.27
5.839381878,1005.985714,3.442857143,1.842857143,3.728571429,53.71428571,3.285714286,61.28571429,227.8857143,17.45714286,993.1142857,-11.95714286,1019.285714,14.24285714,11.24285714,4.918452381,86.9,18.4,97.04,22.2,101.68,98250,4327488,49.2,103.31
5.904940295,1001.157143,3.542857143,8.457142857,6.185714286,57.57142857,8.571428571,48.85714286,195.8142857,19.6,980.8857143,-3.357142857,1014,22.51428571,12.6,12.48571429,77.62,15.3,97.92,22.4,101.705,99906.5,4285696,57,103.57
5.598220557,1001.071429,3.2,17.71428571,11.25714286,58.14285714,7.714285714,56.71428571,254.7571429,17.85714286,989.9,5.328571429,1016.142857,30.32857143,11.51428571,16.27142857,82.92,19.5,96.98,15.8,101.22,112699.5,4447897,45,103.18
5.033949895,994.5142857,2.728571429,21.34285714,18.17142857,74,11.57142857,44,198.7,16.15714286,979.5714286,12.74285714,1003.757143,32.57142857,9.242857143,53.38571429,85.75,26.4,98.82,18,100.99,100958.5,4503581,53.5,104.92
4.617185671,994.8714286,2.571428571,23.7,23.81428571,81.85714286,12.57142857,37.85714286,173.2142857,15.04285714,985.8142857,14.58571429,1005.457143,31.62857143,8.957142857,53.81428571,88.45,21.4,98.91,18.1,100.455,108064.5,4640259,49.7,104.79
4.687426832,998.4142857,2.457142857,24.54285714,24.62857143,80.71428571,8.285714286,45.57142857,191.4285714,13.97142857,991.2142857,15.11428571,1005.757143,32.31428571,8.771428571,43.58571429,87.74,19,98.98,18.1,100.16,111228,4614801,47,104.45
4.041208148,1005.614286,2.342857143,18.72857143,15.47142857,73.14285714,4.857142857,64.85714286,239.8285714,13.24285714,993.5714286,5.985714286,1013.571429,29.72857143,8.171428571,14.67142857,81.41,19.2,99.24,20.1,100.42,104576,5078361,43,104.45
4.118473425,1009.085714,2.857142857,13.04285714,10.6,67.57142857,6.428571429,59.57142857,202.5285714,19.14285714,1000.057143,-1.6,1021.6,28.24285714,11.12857143,28.48571429,79.74,19,98.84,21.1,101.38,108529,4172665,43.5,104.4
3.430110044,1010.757143,2.957142857,2.5,4.928571429,61.14285714,4.714285714,58.85714286,171.6428571,16.44285714,993.9857143,-9.814285714,1025.642857,19.58571429,10.17142857,8.9,85.7,18.7,97.47,20.8,101.655,98569.5,4955237,42.1,104.07
1.966752517,1017.657143,2.671428571,-4.885714286,2.871428571,63.42857143,2.571428571,53.28571429,152.6285714,15.72857143,1005.057143,-17.55714286,1026.828571,7.328571429,9.657142857,2.379166667,90,22,99.4,21,102.93,114012.4583,5186632,36.5,104.61
6.03769195,1017.771429,2.271428571,-6.385714286,2.542857143,65,3.714285714,58.28571429,173.2142857,15.4,1005.571429,-16.4,1025.914286,4.057142857,9.357142857,3.143452381,82.41,19.65,96.69916667,26.2,102.62,101905,4482993,18.67762238,104.5
5.083759888,1010.714286,3.042857143,-0.114285714,3.742857143,59.57142857,2.571428571,62,185.6142857,18.81428571,997.8,-17.18571429,1022.114286,12.08571429,11.44285714,6.545833333,69.85,18.1,96.7,34.7,101.81,108922,4449278,44.6,103.96
5.818985575,1008.657143,3.257142857,1.857142857,4.642857143,64.57142857,7.714285714,54.42857143,202.7,23.02857143,988.7714286,-14.5,1020.471429,14.81428571,13.72857143,47.27142857,79.65,15.3,96.8,32.3,104.18,99436,4423311,54,104.08
5.798045603,1004.814286,3.342857143,10.02857143,6.542857143,55.42857143,5.142857143,57.14285714,228.5571429,16.45714286,989.9,-1.914285714,1016.471429,26.84285714,10.67142857,17.71428571,78.77,19.3,97.2,33.5,103.385,103956,5465298,42.1,103.78
5.812005584,996.1,3.1,17.78571429,11.01428571,57,10.28571429,59.14285714,265.7714286,18.8,983.5142857,6.4,1006.957143,29.08571429,11.54285714,27.17142857,77.42,19.1,97.7,35.4,104.15,117325,5502839,37.7,103.65
5.411819451,997.0857143,3.128571429,23.37142857,17.7,64.42857143,4.857142857,59.42857143,268.7,17.24285714,986.4,13.34285714,1004.142857,34.05714286,10.05714286,29.94285714,86,28.7,96.7,36.1,105.88,114381,5414922,32.9,103.03
5.027919963,993.8,2.314285714,23.91428571,23.95714286,81.85714286,11.28571429,41.14285714,187.0571429,13.8,985.4285714,14.67142857,1001.328571,33.25714286,8.642857143,57.18571429,97.36,18.5,97.8,36.1,107.395,120235,6141220,33.5,102.94
4.550953932,997.3857143,2.357142857,24.11428571,24.01428571,81.28571429,9.857142857,49.14285714,207.6857143,15.68571429,983.4285714,16.05714286,1006.8,32.32857143,9.4,53.34285714,91.87,20.7,97.8,36.5,108.695,124806,5944090,35.7,103.45
3.948348069,1003.971429,2.1,19.78571429,16.35714286,72.42857143,6.285714286,62.28571429,230.5571429,13.52857143,996.1428571,7.771428571,1015.3,30.72857143,8.385714286,24.84285714,97.86,24.5,98.5,37.4,107.59,120481.5,5335076,40,104.1
3.873894835,1010.728571,2.514285714,10.74285714,9.171428571,68.28571429,7,53,180.2857143,15.47142857,998.1857143,-3.885714286,1020.942857,25.67142857,9.757142857,20.1,91.98,19.5,99.5,37.5,107.095,124568,5524662,40.9,105.07
3.352722196,1014.7,2.871428571,1.757142857,4.628571429,61.42857143,4.142857143,59.57142857,175.0142857,16.44285714,1002.528571,-12.24285714,1026.2,15.44285714,10.31428571,12.98571429,98.08,18.6,99.1,37.4,108.68,117773.5,6117827,39.8,106.66
1.877617497,1013.657143,2.271428571,-5.071428571,3.014285714,69.71428571,5.428571429,55,156.5571429,14.74285714,1002.314286,-15.4,1026.842857,5.157142857,9.257142857,4.614285714,102.56,13.8,100.3,32.3,108.515,119770.4583,6336637,39,108.08
6.630359212,1019.985714,2.657142857,-9.528571429,1.642857143,52.85714286,2.541666667,73.57142857,218.9714286,14.55714286,1005.885714,-20.48571429,1033.742857,3.757142857,9.5,3.231547619,106.37,19.19166667,96.54583333,51.7,108.625,115838,6137086,18.67762238,109.82
5.930475087,1016.2,2.742857143,-5.628571429,1.985714286,47.85714286,1.946428571,73.71428571,229.0285714,16.35714286,995.4714286,-16.81428571,1029.114286,10.95714286,10.68571429,1.078571429,87.62,17.7,97.5,39.7,109.88,127679.5,5055134,51,109.55
5.923522596,1007.928571,3.128571429,4.528571429,4.742857143,57.28571429,5.285714286,54.42857143,201.4285714,16.47142857,996.1714286,-7.214285714,1019.185714,16.31428571,10.62857143,9.457142857,105.45,20.3,97.2,36.99,108.13,117103,6722704,72.6,112.71
6.310544612,1003.371429,3.442857143,11.94285714,7.614285714,57.14285714,6.142857143,53.57142857,214.5714286,16.95714286,990.3714286,-0.242857143,1013.028571,26.57142857,10.82857143,13.42857143,98.78,19.5,97.3,34.3,108.205,120127.5,6464130,54.6,112.53
5.937427578,997.9142857,3.028571429,16.07142857,11.65714286,66.57142857,11.42857143,48.57142857,217.6714286,16,987.5857143,6.1,1008.285714,26.77142857,10.28571429,20.34285714,96.59,20.7,98.3,33.6,107.19,127221.5,6403167,46.7,112.69
5.550405562,997.9857143,2.528571429,20.51428571,18.61428571,78.85714286,11.57142857,38.71428571,174.5857143,14.1,989.4714286,10.97142857,1006.128571,31.31428571,8.528571429,38.74285714,95.57,20.2,97.1,32.8,106.02,119242.5,7346104,57.5,114.39
5.353418308,995.1857143,2.4,24.22857143,25.65714286,85.85714286,13.28571429,37.71428571,171.3285714,14.11428571,982.3714286,18.08571429,1003.1,32.78571429,8.671428571,58.25714286,99.02,16.5,98.6,30.6,104.865,133999,7826399,49.9,115.9
4.799536501,997.7571429,2.385714286,23.55714286,23.74285714,82.85714286,9.428571429,53.71428571,226.8857143,14.05714286,988.1571429,15.27142857,1004.357143,32.5,8.685714286,48.88571429,104.02,17.1,97.1,29.1,103.46,139849.5,9107958,49.6,116.52
4.141367323,1003.957143,2.471428571,19.14285714,15.61428571,69.57142857,3.857142857,67,248.4857143,16.3,995.2857143,4.9,1014.485714,29.92857143,9,20.6,87.84,16.9,96.8,29.3,103.275,137608,8412677,45.9,113.27
4.268829664,1008.242857,2.657142857,12.6,9.557142857,63.71428571,4.428571429,65.28571429,221.4571429,16.01428571,996.8571429,-2.157142857,1016.442857,25.01428571,10.15714286,17.1,81.56,15,98,27.1,102.49,142667.5,6962336,43.4,110.4
3.580533024,1012.271429,2.871428571,2.585714286,4.457142857,56.57142857,2.714285714,68.14285714,200.5428571,17.4,996.8428571,-10.94285714,1022.171429,18.44285714,11.17142857,3.325,78.41,9.1,97.2,25.6,99.63,131936,6404976,39.7,103.3
1.749710313,1013.485714,3.242857143,-4.728571429,2.6,53.28571429,2.714285714,60.71428571,173.5428571,17.07142857,999.5571429,-18.2,1028.228571,11,10.65714286,7.74702381,88.99,9,97.7,25.2,98.49,130238.5833,5480035,35.1,99.46
5.261460493,1016.171429,2.7,-7.757142857,2.085714286,55.57142857,2.285714286,67.85714286,202.2571429,16.01428571,1000.271429,-19.75714286,1028.814286,6.571428571,10.05714286,4.680357143,84.15,16.65833333,96.99166667,4.5,99.005,124180.5,4470131,18.67762238,95.62
5.061045842,1011.228571,2.8,-4.257142857,2.728571429,57.71428571,4.285714286,65,194.7,17.67142857,987.5714286,-18.8,1027.185714,10.02857143,11.17142857,19.68571429,80.02,13.3,94.7,8.1,98.365,130298.5,4008011,89.4,94.9
6.263533748,1009.185714,3.385714286,1.9,3.785714286,52.57142857,4.571428571,66.14285714,246.8571429,18.1,987.5857143,-10.68571429,1026.871429,18.3,11.41428571,3.814285714,89.45,14,96,9.4,98.135,135735,4426228,44.4,93.13
5.95715273,1004.357143,3.242857143,11.22857143,7.185714286,57,6.857142857,58.28571429,233.8142857,18.52857143,985,-3.014285714,1017.142857,25.44285714,11.35714286,47.45714286,87.54,12,96.9,8.3,98.9,131568,4644273,42.8,92.14
5.342087077,1000.571429,3.128571429,18.74285714,11.5,56.85714286,5.285714286,59.57142857,266.6428571,16.81428571,987.6,7.357142857,1008.528571,30.81428571,10.77142857,25.64285714,86.74,14.5,98,9.8,99.58,147538,4911716,38.7,91.04
5.001151808,992.5142857,2.871428571,21.17142857,17.47142857,71.14285714,13.28571429,49.14285714,221.0285714,18.22857143,983.3,11.57142857,1002.614286,32.2,10.52857143,30.98571429,87.93,14.1,96.3,13.8,99.365,147889.8333,6070899,29.8,90.49
4.869845658,994.1571429,2.6,23.67142857,22.75714286,79.42857143,12,48.42857143,218.8428571,16.22857143,985.8428571,17.01428571,1001.242857,31.62857143,9.557142857,53.35714286,99.73,15,98.5,12.8,99.78,149080.5,6111371,29,90.04
4.64639484,998.7571429,2.4,24.22857143,22.05714286,73.85714286,6.142857143,64.71428571,273.4,17.24285714,990.0285714,9.657142857,1009.157143,35.52857143,10.75714286,42.04285714,108.2,15.6,98.3,13.9,100.085,145629.125,5811281,28.3,90.9
4.270905321,1004.114286,2.628571429,18.52857143,14.84285714,70.71428571,5.857142857,57.85714286,213.3,14.81428571,993.4,7.928571429,1012.328571,28.77142857,9.114285714,12.01428571,96.99,16.6,98.5,12.7,101.145,145563.875,7530516,26.2,91.98
4.383782539,1006.742857,2.6,11.62857143,8.642857143,63.28571429,6,63.85714286,216.6714286,17.87142857,987.0285714,-1.785714286,1019.557143,22.82857143,10.78571429,16.81428571,103.1,20.4,98.4,12.2,101.46,148631.4167,5436224,25.5,93.71
4.111955771,1015.414286,3.414285714,-1.157142857,4,63.14285714,3.714285714,58.71428571,172.0285714,17.24285714,998.1857143,-14.5,1028.2,18.9,10.74285714,8.371428571,107.38,21,97.9,13.4,102.665,149373.8333,7455138,24.7,100.15
3.425478,1014.314286,2.657142857,-7.957142857,2.471428571,63.28571429,5.428571429,59.57142857,170.1857143,15.27142857,999.7285714,-24.07142857,1024.557143,6.642857143,9.328571429,5.657142857,110.28,21.4,100,17.3,103.58,146229.5833,8794170,22.4,104.24
5.017142857,1015.642857,2.942857143,-10.31428571,2.042857143,63.85714286,6.142857143,60.42857143,180.7,16.72857143,1001.5,-24.84285714,1027.057143,4.442857143,10.77142857,2.828571429,110.88,16.61666667,97.25,25.6,103.4,148318.1667,7845552,18.67762238,105.81
4.685714286,1013.514286,3.057142857,-6.442857143,2.514285714,57.71428571,4.857142857,57.28571429,171.2571429,15.91428571,994,-19.18571429,1025.857143,9.085714286,9.571428571,7.114285714,87.31,21.1,94.8,26.4,103.015,151635.625,6902427,46.2,106.68
5.625142857,1011.085714,3.628571429,-0.528571429,3.357142857,54.14285714,5.571428571,59.57142857,221.7428571,20.61428571,987.9571429,-12.45714286,1029.028571,13.77142857,12.04285714,12.72857143,114.2,21.2,98.1,26.4,102.79,152355.375,7548242,46.4,109.39
5.748571429,1006.642857,3.514285714,6.971428571,5.628571429,57.28571429,11.14285714,48,193.4142857,19.81428571,990.5428571,-3.285714286,1017.985714,20.51428571,12,17.22857143,106.6,19,99.1,33,102.835,156041,7985522,33.9,110.09
5.645714286,998.6857143,3.314285714,16.12857143,12.12857143,68.71428571,13.14285714,45.71428571,206.1857143,18.42857143,984.9,5.742857143,1010.128571,30.44285714,11.04285714,37.91428571,101.57,18.7,97.9,32,102.115,160855.5,7580033,35.3,110.91
5.366857143,999.2571429,2.442857143,22.04285714,17.67142857,69.42857143,8.571428571,57.28571429,258.7857143,13.48571429,989.9285714,11.54285714,1009.485714,32.95714286,8.914285714,18.1,108.7,18.1,96.9,32,102.025,176403.5,8016760,37.1,109.39
5.117714286,995.6714286,2.542857143,24.61428571,26.21428571,85.42857143,15.71428571,31.42857143,143.0428571,15.07142857,986.8142857,17.91428571,1003.557143,32.8,9,58.54285714,114.4,16.4,97.5,31.2,102.385,165659,7991058,36.2,107.27
4.838857143,999.0142857,2.314285714,23.27142857,24.14285714,85.57142857,11.85714286,43.42857143,183.6285714,14.2,987.5571429,15.5,1007,31.14285714,8.628571429,71.92857143,105,16.5,97.6,30.1,103.66,166338,8175012,35,105.2
4.507428571,1004.457143,2.328571429,18.42857143,17.25714286,78.85714286,7.428571429,52.85714286,195.2,14.31428571,996.9714286,4.528571429,1014.114286,30.41428571,8.642857143,27.95714286,103.4,17.4,98.6,29.9,103.24,170147.5,8485112,33.6,105.41
4.466285714,1010.614286,2.871428571,9.814285714,8.942857143,69,4.857142857,63.42857143,215.4,15.62857143,996.7714286,-4.442857143,1027.671429,24.4,9.785714286,35.08571429,104.64,16.4,97.9,30,104.365,180813,7171133,31.6,105.76
4.297142857,1010.085714,3.042857143,2.9,5.228571429,64.57142857,7.428571429,56.14285714,164.5714286,18.37142857,992.0285714,-11.92857143,1026.514286,17.12857143,11.18571429,19.32857143,111.4,15.9,97.1,29.5,105.97,161452,8589107,30.3,106.67
4.016,1008.328571,3.085714286,-6.6,2.657142857,60.28571429,5.285714286,57.14285714,163.3285714,16.07142857,988.4142857,-22.07142857,1026.614286,10.11428571,9.971428571,5.442857143,112.4,18.9,99.1,26,105.27,160774.125,8826127,28.3,106.58
6.313027607,1019.471429,2.471428571,-12.21428571,1.328571429,55,1.571428571,78.14285714,232.2142857,12.85714286,1005.785714,-23.54285714,1032.814286,3.6,8.185714286,1.029166667,117.48,14.875,97.26666667,38.5,104.55,156488.5,9568223,18.67762238,106.58
5.986767055,1013.7,2.871428571,-4.057142857,2.814285714,59.42857143,2.142857143,58,172.2857143,15.57142857,1000.842857,-16.65714286,1023.371429,10.47142857,10.04285714,3.351785714,94.89,14.5,98.7,38.1,104.545,161241.5,6538480,25.5,107.13
6.62103582,1011.142857,3.185714286,1.842857143,3.142857143,45.14285714,1.571428571,75.85714286,282.8285714,16.9,998.6428571,-10.82857143,1018.942857,18.92857143,10.05714286,5.766666667,123.7,13.5,97.7,40.1,104.925,180161,9957292,28.5,107.35
6.214921287,1003.428571,3.571428571,9.6,5.7,49.71428571,6.428571429,60.42857143,242.2142857,17.97142857,987.2714286,-2.742857143,1019.471429,22.95714286,10.88571429,11.44285714,106.9,14.8,98.8,36.1,105.07,158851.5,9152210,35.7,107.48
6.153319644,998.5857143,3.342857143,17.17142857,9.885714286,53.14285714,6.714285714,62.57142857,281.0285714,18.45714286,987.8428571,5.485714286,1005.928571,29.35714286,11.48571429,24.18571429,111.6,15.7,98.5,37.9,106.05,177933.5,9062397,38.1,107.43
